"comment_id","comment_text","likes","replies","username","username_md5","user_channel","date","url","video_id","replies_value","load_replies","replies_without_names","num_of_comments","sort_by","user_id","timestamp","input"
"UgyrTM0cWwT-eXlTeMl4AaABAg","🤔 Have you made any of these mistakes with your gaming laptop? 🤔
💵 Save money on your next gaming laptop with our daily deals: https://gaminglaptop.deals 💵
👉Check out my top 9 gaming laptops hacks in 2 minutes next! https://youtu.be/CMs2U3h7_FU 👈

LOTS of comments saying ""just get a pc lol it's faster"" as the video has been suggested out to a much larger audience than usual. A few things: Firstly, an RTX 3060 desktop is only like 8% faster than a laptop for similar money: https://www.youtube.com/watch?v=S1sCLpkOkhY Secondly, not everyone just sits at home, some people need portability, and even if the device is only used at home not everyone has space to maintain a dedicated area for a full on PC setup, or the money to have both a PC and cheaper laptop. Thirdly, why are you clicking on a video with laptops in the thumbnail if this is what you think? lol",1400,68,"@JarrodsTech","25e5028101b5c8fe1bce2a1a7e2ed3b6","https://www.youtube.com/@JarrodsTech","3 years ago (edited)","https://www.youtube.com/watch?v=lE-VKc2R9L4","lE-VKc2R9L4",,,,,,"UC2Rzju32yQPkQ7oIhmeuLwg","2025-02-24T06:13:41.929Z","{""url"":""https://www.youtube.com/watch?v=lE-VKc2R9L4"",""num_of_comments"":100,""sort_by"":""Top comments""}"
"Ugx6amM-6KidYdSB8Wd4AaABAg","1.not cleaning
2.laptop placement
3.gaming on battery
4.not opening with care
5.not updating
6.not using dual channel memory
7.gaming with optimus (integrated gpu)
8.buying new too often
9.performance tuning
10. uhhhh",12000,87,"@mdanialmk9786","962c2a31b5272f58f0425ae2bb952930","https://www.youtube.com/@mdanialmk9786","3 years ago","https://www.youtube.com/watch?v=lE-VKc2R9L4","lE-VKc2R9L4",,,,,,"UC6ZyFA7wxi0nTH0UBcbgcwg","2025-02-24T06:13:41.929Z","{""url"":""https://www.youtube.com/watch?v=lE-VKc2R9L4"",""num_of_comments"":100,""sort_by"":""Top comments""}"
"UgyPPWYa_vQYRWGRRoR4AaABAg","Me : So this is why I can't run AAA games on my laptop!

My 4 year old laptop with iGPU : No, it's not.",1400,12,"@gibingeorge3352","104a66800d982d89f38839fca99bf397","https://www.youtube.com/@gibingeorge3352","3 years ago","https://www.youtube.com/watch?v=lE-VKc2R9L4","lE-VKc2R9L4",,,,,,"UCB3fnxH4WqE-n8m0njC2Djw","2025-02-24T06:13:41.929Z","{""url"":""https://www.youtube.com/watch?v=lE-VKc2R9L4"",""num_of_comments"":100,""sort_by"":""Top comments""}"
"UgwKNcasi2nQctcGdgJ4AaABAg","The 10th Tip is the BEST i have to say! xD",4200,66,"@istvanmester","1e47c5c6137693d3a6af6d7000e7dfef","https://www.youtube.com/@istvanmester","3 years ago","https://www.youtube.com/watch?v=lE-VKc2R9L4","lE-VKc2R9L4",,,,,,"UCwZeC2OibCxtZsuQhHuqChQ","2025-02-24T06:13:41.929Z","{""url"":""https://www.youtube.com/watch?v=lE-VKc2R9L4"",""num_of_comments"":100,""sort_by"":""Top comments""}"
"UgyJbMijrzR9dohjErl4AaABAg","Number 10 is a fantastic tip.  I also found that rigorously shaking the laptop helps as well when the download appears to stall. Just like a salt shaker when it gets clogged. Works a treat.",678,10,"@greyroo","40cd4954f88273305556f4936fd257b3","https://www.youtube.com/@greyroo","1 year ago","https://www.youtube.com/watch?v=lE-VKc2R9L4","lE-VKc2R9L4",,,,,,"UCl0O8uxXrNP567NnLzk05YA","2025-02-24T06:13:41.929Z","{""url"":""https://www.youtube.com/watch?v=lE-VKc2R9L4"",""num_of_comments"":100,""sort_by"":""Top comments""}"
"UgzOOcj5pEDHpt8x6Nt4AaABAg","I cant stress how important it is to clean your laptop.  Take your time to learn how to slowly open to back of it to get the dust out. Then slowly again take your time to learn how to remove/replace fans and clean them. And again slowly learn how to change your thermal paste. It's not as hard as you think you just need the right tools to unscrew a few screws here and there.",2200,54,"@jsmusicist","7161d1a4f8d5ed29b81a7929808ade4c","https://www.youtube.com/@jsmusicist","3 years ago","https://www.youtube.com/watch?v=lE-VKc2R9L4","lE-VKc2R9L4",,,,,,"UCoQmAMxt_ERVevoLFelMCDg","2025-02-24T06:13:41.929Z","{""url"":""https://www.youtube.com/watch?v=lE-VKc2R9L4"",""num_of_comments"":100,""sort_by"":""Top comments""}"
"UgxFviXg7Qh-QPn9Zbx4AaABAg","Mistake #11: Not utilizing the rgb rainbow puke lighting to increase fps.",3100,17,"@rockerzstarz","0b81b65c20432dda6bae09c77a518cf8","https://www.youtube.com/@rockerzstarz","3 years ago","https://www.youtube.com/watch?v=lE-VKc2R9L4","lE-VKc2R9L4",,,,,,"UCyQ8es6xsdq9LOhg98xy57Q","2025-02-24T06:13:41.929Z","{""url"":""https://www.youtube.com/watch?v=lE-VKc2R9L4"",""num_of_comments"":100,""sort_by"":""Top comments""}"
"Ugxe4obi6K6O03cdYuJ4AaABAg","Mistake 11: Not buying a gaming laptop with RGB Keyboards",12000,308,"@darkmaster2899","af51924c35743ef8adc1003e54460959","https://www.youtube.com/@darkmaster2899","3 years ago","https://www.youtube.com/watch?v=lE-VKc2R9L4","lE-VKc2R9L4",,,,,,"UCZ5UH1VWDtHmwVfhHTA_m5A","2025-02-24T06:13:41.929Z","{""url"":""https://www.youtube.com/watch?v=lE-VKc2R9L4"",""num_of_comments"":100,""sort_by"":""Top comments""}"
"UgwF00OCdfjaoOORN2l4AaABAg","""I've seen people body slam their laptops and act surprised when its broken"". As someone who struggled hard and long to get my dream laptop, this enrages me",64,1,"@damienwong2742","b316f28612b6a0c4fa041f92b4520736","https://www.youtube.com/@damienwong2742","2 years ago (edited)","https://www.youtube.com/watch?v=lE-VKc2R9L4","lE-VKc2R9L4",,,,,,"UCbBm_qT0FSIlLpnATiOr1KQ","2025-02-24T06:13:41.929Z","{""url"":""https://www.youtube.com/watch?v=lE-VKc2R9L4"",""num_of_comments"":100,""sort_by"":""Top comments""}"
"UgwxMHCjHvDLd28Gopl4AaABAg","""..Putting a long screw in a small hole""
Love your humor, Jarrod 😂",1600,16,"@merrygamer236","b6991a53d2bdf39600f66be7d0ae0171","https://www.youtube.com/@merrygamer236","3 years ago (edited)","https://www.youtube.com/watch?v=lE-VKc2R9L4","lE-VKc2R9L4",,,,,,"UCte6WaMiRD5NIhx95k17RKw","2025-02-24T06:13:41.929Z","{""url"":""https://www.youtube.com/watch?v=lE-VKc2R9L4"",""num_of_comments"":100,""sort_by"":""Top comments""}"
"Ugy9uHOnLOmTvSKBPAZ4AaABAg","TIMESTAMPS
.
00:08 MISTAKE #1 - NOT CLEANING
00:33 MISTAKE #2 - LAPTOP PLACEMENT
00:56 MISTAKE #3 - GAMING ON BATTERY
01:31 MISTAKE #4 - NOT OPENIN WITH CARE
02:00 MISTAKE #5 - NOT UPDATING
03:01 MISTAKE #6 - NOT USING DUAL CHANNEL MEMORY
03:41 MISTAKE #7 - GAMING WITH OPTIMUS
04:40 MSITAKE #8 - BUYING NEW TOO OFTEN
05:43 EXTRA MISTAKE #8.5
06:09 MISTAKE #9 - PERFORMANCE TUNING
06:46 - MISTAKE #10 - BONUS",2400,23,"@bizkurt99","def33710504f468b3a561d85cd6099f4","https://www.youtube.com/@bizkurt99","3 years ago (edited)","https://www.youtube.com/watch?v=lE-VKc2R9L4","lE-VKc2R9L4",,,,,,"UCqmq8nwphP_QDQ2wzpTsjaA","2025-02-24T06:13:41.929Z","{""url"":""https://www.youtube.com/watch?v=lE-VKc2R9L4"",""num_of_comments"":100,""sort_by"":""Top comments""}"
